Chemical compound	Metabolic activity	Microbial species or host cell-type	Reference # (Supplementary Data 2a)
[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol)	Production (export)	Bacillus subtilis	[122]
[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol)	Consumption (import)	Corynebacterium glutamicum	[5]
[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol)	Production (export)	Enterobacter cancerogenus	[339]
[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol)	Production (export)	Enterobacter cloacae	[339]
[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol)	Consumption (import) & production (export)	Klebsiella pneumoniae	[5,316,339]
[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol)	Production (export)	Klebsiella variicola	[316,339]
[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol)	Production (export)	Lactobacillus plantarum	[179]
[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol)	Consumption (import)	Pelobacter carbinolicus	[5,289,302]
[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol)	Consumption (import)	Pelobacter propionicus	[289]
[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol)	Consumption (import)	Pseudomonas aeruginosa	[344]
1,2-diacylglycerol (1-acylglycerol, Monoacylglycerol, Monoglyceride, Monoacylglycerol)	Consumption (import)	Colonocyte (host colon)	[336]
1,2-Ethanediol (Ethylene glycol)	Production (export)	Bacteroides thetaiotaomicron	[118]
1,2-Ethanediol (Ethylene glycol)	Consumption (import)	Pelobacter carbinolicus	[5,289,302,302]
1,2-Ethanediol (Ethylene glycol)	Consumption (import)	Pelobacter propionicus	[302]
1,2-Ethanediol (Ethylene glycol)	Consumption (import)	Pelotomaculum thermopropionicum	[135,302]
1,2-Ethanediol (Ethylene glycol)	Consumption (import)	Syntrophobacter fumaroxidans	[302]
1,2-Ethanediol (Ethylene glycol)	Consumption (import)	Syntrophobotulus glycolicus	[302]
1,2-Ethanediol (Ethylene glycol)	Consumption (import)	Syntrophomonas wolfei	[302]
1,2-Ethanediol (Ethylene glycol)	Consumption (import)	Syntrophothermus lipocalidus	[302]
1,2-Ethanediol (Ethylene glycol)	Consumption (import)	Syntrophus aciditrophicus	[302]
1,2-propanediol (Propene diol, Propylene glycol, [R]-1,2-propanediol, [R]-propane-1,2-diol, [S]-1,2-propanediol, [S]-propane-1,2-diol)	Production (export)	Bacteroides thetaiotaomicron	[118]
1,2-propanediol (Propene diol, Propylene glycol, [R]-1,2-propanediol, [R]-propane-1,2-diol, [S]-1,2-propanediol, [S]-propane-1,2-diol)	Production (export)	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	[295]
1,2-propanediol (Propene diol, Propylene glycol, [R]-1,2-propanediol, [R]-propane-1,2-diol, [S]-1,2-propanediol, [S]-propane-1,2-diol)	Consumption (import)	Clostridium butyricum	[5]
1,2-propanediol (Propene diol, Propylene glycol, [R]-1,2-propanediol, [R]-propane-1,2-diol, [S]-1,2-propanediol, [S]-propane-1,2-diol)	Production (export)	Lactobacillus buchneri	[234]
1,2-propanediol (Propene diol, Propylene glycol, [R]-1,2-propanediol, [R]-propane-1,2-diol, [S]-1,2-propanediol, [S]-propane-1,2-diol)	Consumption (import)	Pelobacter carbinolicus	[5]
1,2-propanediol (Propene diol, Propylene glycol, [R]-1,2-propanediol, [R]-propane-1,2-diol, [S]-1,2-propanediol, [S]-propane-1,2-diol)	Consumption (import)	Salmonella enterica	[253]
1,3-Propanediol	Production (export)	Citrobacter koseri	[232]
1,3-Propanediol	Production (export)	Citrobacter rodentium	[232]
1,3-Propanediol	Production (export)	Citrobacter youngae	[232]
1,3-Propanediol	Production (export)	Ilyobacter polytropus	[232]
1,3-Propanediol	Production (export)	Klebsiella pneumoniae	[4,232]
1,3-Propanediol	Production (export)	Lactobacillus brevis	[234,401]
1,3-Propanediol	Production (export)	Lactobacillus buchneri	[234,401]
1,3-Propanediol	Consumption (import) & production (export)	Pelobacter carbinolicus	[5,232]
1,3-Propanediol	Consumption (import)	Pelotomaculum thermopropionicum	[135]
2-Aminobutyric acid (2-Aminobutyrate)	Production (export)	Clostridium botulinum	[86]
2-Aminobutyric acid (2-Aminobutyrate)	Production (export)	Clostridium sporogenes	[86]
2-Aminobutyric acid (2-Aminobutyrate)	Production (export)	Clostridium sticklandii	[86]
2-methylbutyrate (2-methylbutanoic acid)	Consumption (import)	Colonocyte (host colon)	[336]
2-methylbutyrate (2-methylbutanoic acid)	Consumption (import)	Desulfobulbus propionicus	[196]
2-methylbutyrate (2-methylbutanoic acid)	Consumption (import)	Fibrobacter succinogenes (Bacteroides succinogenes)	[198]
2-methylbutyrate (2-methylbutanoic acid)	Consumption (import)	Prevotella ruminicola (Bacteroides ruminicola)	[244]
2-methylbutyrate (2-methylbutanoic acid)	Consumption (import)	Ruminococcus albus	[121]
2-methylbutyrate (2-methylbutanoic acid)	Consumption (import)	Ruminococcus bromii	[121]
2-Oxobutyrate (Alpha-ketobutyrate, 2-Oxobutanoate)	Consumption (import)	Anaerotruncus colihominis	[170]
2-Oxobutyrate (Alpha-ketobutyrate, 2-Oxobutanoate)	Production (export)	Clostridium sporogenes	[306]
2-Oxobutyrate (Alpha-ketobutyrate, 2-Oxobutanoate)	Consumption (import)	Porphyromonas asaccharolytica	[306]
3-phenylpropionic acid (Phenylpropanoate, 3-phenylpropionate)	Consumption (import)	Colonocyte (host colon)	[132]
4-Aminobenzoate (para-amino, Benzoic acid)	Consumption (import)	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	[265]
4-Aminobenzoate (para-amino, Benzoic acid)	Consumption (import)	Clostridium acetobutylicum	[242]
4-Aminobenzoate (para-amino, Benzoic acid)	Consumption (import)	Clostridium butyricum	[242]
4-Aminobenzoate (para-amino, Benzoic acid)	Consumption (import)	Lactobacillus casei	[242]
4-Aminobenzoate (para-amino, Benzoic acid)	Consumption (import)	Lactobacillus plantarum	[265]
4-Aminobenzoate (para-amino, Benzoic acid)	Consumption (import)	Ruminococcus albus	[121]
4-Aminobutyrate (GABA)	Consumption (import)	Agrobacterium tumefaciens (Rhizobium radiobacter)	[66]
4-Aminobutyrate (GABA)	Consumption (import)	Anaerostipes caccae	[42]
4-Aminobutyrate (GABA)	Consumption (import)	Bacillus subtilis	[66]
4-Aminobutyrate (GABA)	Production (export)	Bifidobacterium adolescentis	[14]
4-Aminobutyrate (GABA)	Production (export)	Bifidobacterium dentium	[14]
4-Aminobutyrate (GABA)	Production (export)	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	[14]
4-Aminobutyrate (GABA)	Consumption (import)	Clostridium acetobutylicum	[42]
4-Aminobutyrate (GABA)	Production (export)	Clostridium botulinum	[212]
4-Aminobutyrate (GABA)	Production (export)	Clostridium difficile	[212]
4-Aminobutyrate (GABA)	Production (export)	Clostridium sporogenes	[212]
4-Aminobutyrate (GABA)	Consumption (import)	Colonocyte (host colon)	[336]
4-Aminobutyrate (GABA)	Consumption (import)	Corynebacterium glutamicum	[66]
4-Aminobutyrate (GABA)	Production (export)	Escherichia coli	[66]
4-Aminobutyrate (GABA)	Production (export)	Lactobacillus brevis	[14]
4-Aminobutyrate (GABA)	Production (export)	Lactobacillus rhamnosus	[201]
4-Aminobutyrate (GABA)	Production (export)	Pseudomonas aeruginosa	[66]
4-Aminobutyrate (GABA)	Production (export)	Pseudomonas fluorescens	[66]
5-Aminovalerate	Production (export)	Clostridium botulinum	[86,212]
5-Aminovalerate	Production (export)	Clostridium difficile	[212]
5-Aminovalerate	Production (export)	Clostridium sporogenes	[86,212]
5-Aminovalerate	Production (export)	Clostridium sticklandii	[86]
Acetaldehyde	Consumption (import)	Colonocyte (host colon)	[336]
Acetate	Production (export)	Acetivibrio cellulolyticus	[237]
Acetate	Production (export)	Acetobacter pasteurianus	[134]
Acetate	Production (export)	Acetohalobium arabaticum	[233,Supplementary Data 2d]
Acetate	Production (export)	Acholeplasma laidlawii	[171]
Acetate	Production (export)	Acidaminococcus fermentans	[41,88,143,263]
Acetate	Production (export)	Actinomyces coleocanis	[145]
Acetate	Production (export)	Actinomyces odontolyticus	[145]
Acetate	Production (export)	Actinomyces oris	[145]
Acetate	Production (export)	Actinomyces urogenitalis	[145]
Acetate	Production (export)	Actinomyces viscosus	[145]
Acetate	Consumption (import) & production (export)	Anaerostipes caccae	[85,91,94,184,285]
Acetate	Production (export)	Anaerotruncus colihominis	[170]
Acetate	Production (export)	Archaeoglobus fulgidus	[81,303]
Acetate	Production (export)	Atopobium parvulum	[185]
Acetate	Production (export)	Atopobium rimae	[185]
Acetate	Production (export)	Atopobium vaginae	[185]
Acetate	Production (export)	Bacillus subtilis	[122]
Acetate	Production (export)	Bacteroides caccae	[149,185,197,198,366]
Acetate	Production (export)	Bacteroides cellulosilyticus	[149,185,197,198,366]
Acetate	Production (export)	Bacteroides coprocola	[149,185,197,198,366]
Acetate	Production (export)	Bacteroides coprophilus	[149,185,197,198,366]
Acetate	Production (export)	Bacteroides dorei	[149,185,197,198,366]
Acetate	Production (export)	Bacteroides eggerthii	[149,185,197,198,366]
Acetate	Production (export)	Bacteroides finegoldii (Alistipes finegoldii)	[252,149,185,197,198,366]
Acetate	Production (export)	Bacteroides fragilis	[198,149,185,197,198,366]
Acetate	Production (export)	Bacteroides helcogenes	[149,185,197,198,366]
Acetate	Production (export)	Bacteroides intestinalis	[149,185,197,198,366]
Acetate	Production (export)	Bacteroides ovatus	[190,149,185,197,198,366]
Acetate	Production (export)	Bacteroides pectinophilus	[149,185,197,198,366]
Acetate	Production (export)	Bacteroides plebeius	[149,185,197,198,366]
Acetate	Production (export)	Bacteroides salanitronis	[149,185,197,198,366]
Acetate	Production (export)	Bacteroides stercoris	[149,185,197,198,366]
Acetate	Production (export)	Bacteroides thetaiotaomicron	[92,118,199,256,281,149,185,197,198,366]
Acetate	Production (export)	Bacteroides uniformis	[149,185,197,198,366]
Acetate	Production (export)	Bacteroides vulgatus	[149,185,197,198,366]
Acetate	Production (export)	Bacteroides xylanisolvens	[44,149,185,197,198,366]
Acetate	Production (export)	Bifidobacterium adolescentis	[94,18,91,145,185,273,285,350,363]
Acetate	Production (export)	Bifidobacterium angulatum	[18,91,145,185,273,285,350,363]
Acetate	Production (export)	Bifidobacterium animalis	[18,91,145,185,273,285,350,363]
Acetate	Production (export)	Bifidobacterium bifidum	[155,18,91,145,185,273,285,350,363]
Acetate	Production (export)	Bifidobacterium breve	[190,18,91,145,185,273,285,350,363]
Acetate	Production (export)	Bifidobacterium catenulatum	[18,91,145,185,273,285,350,363]
Acetate	Production (export)	Bifidobacterium dentium	[18,91,145,185,273,285,350,363]
Acetate	Production (export)	Bifidobacterium gallicum	[18,91,145,185,273,285,350,363]
Acetate	Production (export)	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	[13,68,91,295,18,91,145,185,273,285,350,363,18,91,145,185,273,285,350,363]
Acetate	Production (export)	Bifidobacterium pseudocatenulatum	[18,91,145,185,273,285,350,363]
Acetate	Production (export)	Bilophila wadsworthia	[169,304]
Acetate	Production (export)	Blautia hydrogenotrophica (Ruminococcus hydrogenotrophicus)	[24,46,92,94,256]
Acetate	Consumption (import) & production (export)	Butyrivibrio crossotus	[217,197,366]
Acetate	Consumption (import) & production (export)	Butyrivibrio fibrisolvens	[94,184,217,249,197,366]
Acetate	Consumption (import) & production (export)	Butyrivibrio proteoclasticus	[217,197,366]
Acetate	Production (export)	Catenibacterium mitsuokai	[146]
Acetate	Production (export)	Citrobacter koseri	[232]
Acetate	Production (export)	Citrobacter rodentium	[232]
Acetate	Production (export)	Citrobacter youngae	[232]
Acetate	Production (export)	Clostridium acetobutylicum	[278,175,316]
Acetate	Production (export)	Clostridium asparagiforme	[175,316]
Acetate	Production (export)	Clostridium bartlettii	[175,316]
Acetate	Production (export)	Clostridium beijerinckii	[48,216,175,316]
Acetate	Production (export)	Clostridium bolteae	[175,316]
Acetate	Production (export)	Clostridium botulinum	[175,316]
Acetate	Production (export)	Clostridium butyricum	[224,175,316]
Acetate	Production (export)	Clostridium carboxidivorans	[Supplementary Data 2d,175,316]
Acetate	Production (export)	Clostridium cellulolyticum	[239,278,175,316]
Acetate	Production (export)	Clostridium cellulovorans	[175,316]
Acetate	Production (export)	Clostridium cf	[175,316]
Acetate	Production (export)	Clostridium difficile	[Supplementary Data 2d,175,316]
Acetate	Production (export)	Clostridium hathewayi	[175,316]
Acetate	Production (export)	Clostridium hiranonis	[175,316]
Acetate	Production (export)	Clostridium hylemonae	[175,316]
Acetate	Consumption (import) & production (export)	Clostridium kluyveri	[249,294,294,318,319,175,316]
Acetate	Production (export)	Clostridium leptum	[128,175,316]
Acetate	Production (export)	Clostridium ljungdahlii	[Supplementary Data 2d,175,316]
Acetate	Production (export)	Clostridium methylpentosum	[175,316]
Acetate	Production (export)	Clostridium nexile	[175,316]
Acetate	Production (export)	Clostridium novyi	[175,316]
Acetate	Production (export)	Clostridium papyrosolvens	[175,316]
Acetate	Production (export)	Clostridium perfringens	[190,175,316]
Acetate	Production (export)	Clostridium phytofermentans	[175,316]
Acetate	Production (export)	Clostridium saccharolyticum	[306,175,316]
Acetate	Production (export)	Clostridium scindens	[175,316]
Acetate	Production (export)	Clostridium sporogenes	[175,316]
Acetate	Production (export)	Clostridium sticklandii	[9,175,316]
Acetate	Production (export)	Clostridium symbiosum	[175,316]
Acetate	Production (export)	Clostridium tetani	[212,306,175,316]
Acetate	Production (export)	Clostridium thermocellum	[175,316]
Acetate	Consumption (import)	Colonocyte (host colon)	[100,336]
Acetate	Consumption (import)	Comamonas testosteroni	[101]
Acetate	Consumption (import) & production (export)	Coprococcus catus	[124,184,124]
Acetate	Production (export)	Coprococcus comes	[124,124]
Acetate	Consumption (import) & production (export)	Coprococcus eutactus	[82,82,124,124]
Acetate	Consumption (import) & production (export)	Desulfobulbus propionicus	[288,288,318]
Acetate	Consumption (import)	Desulfotomaculum acetoxidans	[223]
Acetate	Consumption (import)	Desulfotomaculum nigrificans	[223]
Acetate	Consumption (import)	Desulfotomaculum reducens	[223]
Acetate	Consumption (import) & production (export)	Desulfovibrio aespoeensis	[106,318,319,319]
Acetate	Consumption (import) & production (export)	Desulfovibrio desulfuricans	[106,318,319,319]
Acetate	Consumption (import) & production (export)	Desulfovibrio fructosovorans	[106,318,319,319]
Acetate	Consumption (import) & production (export)	Desulfovibrio magneticus	[106,318,319,319]
Acetate	Consumption (import) & production (export)	Desulfovibrio piger	[106,318,319,319]
Acetate	Consumption (import) & production (export)	Desulfovibrio salexigens	[106,318,319,319]
Acetate	Consumption (import) & production (export)	Desulfovibrio vulgaris	[157,322,106,318,319,319]
Acetate	Consumption (import)	Desulfuromonas acetoxidans	[186]
Acetate	Production (export)	Dialister invisus	[80]
Acetate	Production (export)	Dorea formicigenerans	[333]
Acetate	Production (export)	Dorea longicatena	[333]
Acetate	Production (export)	Enterococcus casseliflavus	[185,363]
