DrugBank ID,Name,CAS Number,Drug Groups,InChIKey,InChI,SMILES,Formula,KEGG Compound ID,KEGG Drug ID,PubChem Compound ID,PubChem Substance ID,ChEBI ID,ChEMBL ID,HET ID,ChemSpider ID,BindingDB ID
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7fe7ac9a89f8>,Mestranol,72-33-3,approved,IMSSROKUHAOUJS-MJCUULBUSA-N,"InChI=1S/C21H26O2/c1-4-21(22)12-10-19-18-7-5-14-13-15(23-3)6-8-16(14)17(18)9-11-20(19,21)2/h1,6,8,13,17-19,22H,5,7,9-12H2,2-3H3/t17-,18-,19+,20+,21+/m1/s1",[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(OC)C=C3,C21H26O2,C07618,D00575,6291,46507679,6784,CHEMBL1201151,,6054,
,,,,,,,,,,101937,,,,,,
,,,,,,,,,,9987061,,,,,,
,,,,,,,,,,53846421,,,,,,
,,,,,,,,,,161004,,,,,,
,,,,,,,,,,15979,,,,,,
,,,,,,,,,,23427055,,,,,,
,,,,,,,,,,441293,,,,,,
,,,,,,,,,,148431,,,,,,
,,,,,,,,,,5280794,,,,,,
,,,,,,,,,,2898799,,,,,,
,,,,,,,,,,6365735,,,,,,
,,,,,,,,,,5255,,,,,,
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7fe75408c6d8>,Astaxanthin,472-61-7,investigational,MQZIGYBFDRPAKN-UWFIBFSHSA-N,"InChI=1S/C40H52O4/c1-27(17-13-19-29(3)21-23-33-31(5)37(43)35(41)25-39(33,7)8)15-11-12-16-28(2)18-14-20-30(4)22-24-34-32(6)38(44)36(42)26-40(34,9)10/h11-24,35-36,41-42H,25-26H2,1-10H3/b12-11+,17-13+,18-14+,23-21+,24-22+,27-15+,28-16+,29-19+,30-20+/t35-,36-/m0/s1",C\C(\C=C\C=C(/C)\C=C\C1=C(C)C(=O)[C@@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C(=O)[C@@H](O)CC1(C)C,C40H52O4,C08580,,5281224,347827776,40968,CHEMBL1255871,AXT,4444636,
,,,,,,,,,,124148,,,,,,
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7fe8759de598>,Pyridoxine,65-23-6,approved; investigational; nutraceutical; vet_approved,LXNHXLLTXMVWPM-UHFFFAOYSA-N,"InChI=1S/C8H11NO3/c1-5-8(12)7(4-11)6(3-10)2-9-5/h2,10-12H,3-4H2,1H3",CC1=C(O)C(CO)=C(CO)C=N1,C8H11NO3,C00314,,1054,46508560,16709,CHEMBL1364,UEG,1025,50103505
,,,,,,,,,,115271,,,,,,
,,,,,,,,,,446849,,,,,,
,,,,,,,,,,100373,,,,,,
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7fe80444a6d8>,Gadopentetic acid,80529-93-7,approved,IZOOGPBRAOKZFK-UHFFFAOYSA-K,"InChI=1S/C14H23N3O10.Gd/c18-10(19)5-15(1-3-16(6-11(20)21)7-12(22)23)2-4-17(8-13(24)25)9-14(26)27;/h1-9H2,(H,18,19)(H,20,21)(H,22,23)(H,24,25)(H,26,27);/q;+3/p-3",[Gd+3].OC(=O)CN(CCN(CCN(CC(O)=O)CC([O-])=O)CC([O-])=O)CC([O-])=O,C14H20GdN3O10,,,55466,46504878,35778,CHEMBL1200431,,138549,
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7fe78d353048>,"2,4,6-Tribromophenol",118-79-6,experimental,BSWWXRFVMJHFBN-UHFFFAOYSA-N,"InChI=1S/C6H3Br3O/c7-3-1-4(8)6(10)5(9)2-3/h1-2,10H",OC1=C(Br)C=C(Br)C=C1Br,C6H3Br3O,C14454,,1483,46508747,47696,CHEMBL220087,TBP,1438,
,,,,,,,,,,23723,,,,,,
,,,,,,,,,,2207,,,,,,
,,,,,,,,,,11050,,,,,,
,,,,,,,,,,63051,,,,,,
,,,,,,,,,,2937,,,,,,
,,,,,,,,,,6360,,,,,,
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7fe762ad7d68>,7-ethyl-10-hydroxycamptothecin,86639-52-3,investigational,FJHBVJOVLFPMQE-QFIPXVFZSA-N,"InChI=1S/C22H20N2O5/c1-3-12-13-7-11(25)5-6-17(13)23-19-14(12)9-24-18(19)8-16-15(20(24)26)10-29-21(27)22(16,28)4-2/h5-8,25,28H,3-4,9-10H2,1-2H3/t22-/m0/s1",CCC1=C2C=C(O)C=CC2=NC2=C1CN1C2=CC2=C(COC(=O)[C@]2(O)CC)C1=O,C22H20N2O5,C11173,,104842,175427017,8988,CHEMBL837,,94634,50418088
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7fe6c765a638>,Icaritin,118525-40-9,investigational,TUUXBSASAQJECY-UHFFFAOYSA-N,"InChI=1S/C21H20O6/c1-11(2)4-9-14-15(22)10-16(23)17-18(24)19(25)20(27-21(14)17)12-5-7-13(26-3)8-6-12/h4-8,10,22-23,25H,9H2,1-3H3",COC1=CC=C(C=C1)C1=C(O)C(=O)C2=C(O)C=C(O)C(CC=C(C)C)=C2O1,C21H20O6,,,5318980,347828876,,CHEMBL498485,,4477409,50272527
,,,,,,,,,,3008868,,,,,,
,,,,,,,,,,698,,,,,,
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7fe75d1c4e08>,Pentaerythritol tetranitrate,78-11-5,approved,TZRXHJWUDPFEEY-UHFFFAOYSA-N,"InChI=1S/C5H8N4O12/c10-6(11)18-1-5(2-19-7(12)13,3-20-8(14)15)4-21-9(16)17/h1-4H2",[O-][N+](=O)OCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O,C5H8N4O12,,D01721,6518,347827759,25879,CHEMBL466659,,6271,
,,,,,,,,,,5281703,,,,,,
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7fe7942bd6d8>,5'-Guanosine-Diphosphate-Monothiophosphate,,experimental,XOFLBQFBSOEHOG-UUOKFMHZSA-N,"InChI=1S/C10H16N5O13P3S/c11-10-13-7-4(8(18)14-10)12-2-15(7)9-6(17)5(16)3(26-9)1-25-29(19,20)27-30(21,22)28-31(23,24)32/h2-3,5-6,9,16-17H,1H2,(H,19,20)(H,21,22)(H2,23,24,32)(H3,11,13,14,18)/t3-,5-,6-,9-/m1/s1",[H][C@]1(COP(O)(=O)OP(O)(=O)OP(O)(O)=S)O[C@@]([H])(N2C=NC3=C2NC(=N)N=C3O)[C@]([H])(O)[C@]1([H])O,C10H16N5O13P3S,C01806,,37792,46507592,43000,CHEMBL1204628,GSP,34654,35866
,,,,,,,,,,6858006,,,,,,
,,,,,,,,,,445956,,,,,,
,,,,,,,,,,4689,,,,,,
,,,,,,,,,,5354458,,,,,,
,,,,,,,,,,77643,,,,,,
,,,,,,,,,,5273755,,,,,,
,,,,,,,,,,5320686,,,,,,
,,,,,,,,,,19777023,,,,,,
,,,,,,,,,,5727,,,,,,
,,,,,,,,,,16217590,,,,,,
,,,,,,,,,,5359236,,,,,,
,,,,,,,,,,12540,,,,,,
,,,,,,,,,,159508,,,,,,
,,,,,,,,,,12585,,,,,,
,,,,,,,,,,24667,,,,,,
,,,,,,,,,,54029067,,,,,,
