DrugBank ID,Name,CAS Number,Drug Groups,InChIKey,InChI,SMILES,Formula,KEGG Compound ID,KEGG Drug ID,PubChem Compound ID,PubChem Substance ID,ChEBI ID,ChEMBL ID,HET ID,ChemSpider ID,BindingDB ID
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7f36b1ab34f8>,Myristic acid,544-63-8,experimental,TUNFSRHWOTWDNC-UHFFFAOYSA-N,"InChI=1S/C14H28O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)16/h2-13H2,1H3,(H,15,16)",CCCCCCCCCCCCCC(O)=O,C14H28O2,C06424,,11005,99444702,28875,CHEMBL111077,MYR,10539,50147581
,,,,,,,,,,31115,,,,,,
,,,,,,,,,,107841,,,,,,
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7f36f76c3bd8>,RU79073,,experimental,NSJSAHCLJYVEDM-UHFFFAOYSA-N,"InChI=1S/C9H12NO4P/c11-15(12,13)14-8-5-1-3-7-4-2-6-10-9(7)8/h1,3,5,10H,2,4,6H2,(H2,11,12,13)",OP(O)(=O)OC1=C2NCCCC2=CC=C1,C9H12NO4P,,,5287550,46508465,,CHEMBL358860,790,4449903,14682
,,,,,,,,,,52099,,,,,,
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7f36ffafb1d8>,"2,5-Anhydroglucitol-1,6-Biphosphate",,experimental,WSMBXSQDFPTODV-JGWLITMVSA-N,"InChI=1S/C6H14O11P2/c7-5-3(1-15-18(9,10)11)17-4(6(5)8)2-16-19(12,13)14/h3-8H,1-2H2,(H2,9,10,11)(H2,12,13,14)/t3-,4+,5-,6-/m1/s1",[H][C@]1(O)[C@]([H])(O)[C@]([H])(COP(O)(O)=O)O[C@]1([H])COP(O)(O)=O,C6H14O11P2,,,445555,46509175,,,AHG,393163,
,,,,,,,,,,9956222,,,,,,
,,,,,,,,,,6604100,,,,,,
,,,,,,,,,,1620,,,,,,
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7f36eb9ad188>,5-Nitroindazole,,experimental,WSGURAYTCUVDQL-UHFFFAOYSA-N,"InChI=1S/C7H5N3O2/c11-10(12)6-1-2-7-5(3-6)4-8-9-7/h1-4H,(H,8,9)",O=N(=O)C1=CC=C2NN=CC2=C1,C7H5N3O2,,,21501,46505588,,CHEMBL165372,5NI,20208,50304144
,,,,,,,,,,16129869,,,,,,
,,,,,,,,,,6604931,,,,,,
,,,,,,,,,,5353357,,,,,,
,,,,,,,,,,8295,,,,,,
,,,,,,,,,,16130295,,,,,,
,,,,,,,,,,1922,,,,,,
,,,,,,,,,,13526,,,,,,
,,,,,,,,,,11641416,,,,,,
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7f36f5ad17c8>,Succinyl-Coenzyme A,604-98-8,experimental,VNOYUJKHFWYWIR-ITIYDSSPSA-N,"InChI=1S/C25H40N7O19P3S/c1-25(2,20(38)23(39)28-6-5-14(33)27-7-8-55-16(36)4-3-15(34)35)10-48-54(45,46)51-53(43,44)47-9-13-19(50-52(40,41)42)18(37)24(49-13)32-12-31-17-21(26)29-11-30-22(17)32/h11-13,18-20,24,37-38H,3-10H2,1-2H3,(H,27,33)(H,28,39)(H,34,35)(H,43,44)(H,45,46)(H2,26,29,30)(H2,40,41,42)/t13-,18-,19-,20+,24-/m1/s1",CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCC(O)=O,C25H40N7O19P3S,C00091,,92133,46506270,15380,,SCA,83179,
,,,,,,,,,,442136,,,,,,
,,,,,,,,,,56977810,,,,,,
,,,,,,,,,,6348,,,,,,
,,,,,,,,,,130936,,,,,,
,,,,,,,,,,179651,,,,,,
,,,,,,,,,,54167661,,,,,,
,,,,,,,,,,65581,,,,,,
,,,,,,,,,,11955716,,,,,,
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7f36bb7c3a48>,3-[5-(3-nitrophenyl)thiophen-2-yl]propanoic acid,,experimental,IHKCOKRMJRDWAL-UHFFFAOYSA-N,"InChI=1S/C13H11NO4S/c15-13(16)7-5-11-4-6-12(19-11)9-2-1-3-10(8-9)14(17)18/h1-4,6,8H,5,7H2,(H,15,16)",OC(=O)CCC1=CC=C(S1)C1=CC(=CC=C1)[N+]([O-])=O,C13H11NO4S,,,25210476,99443610,,,53N,25056818,
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7f3758873ae8>,Exemestane,107868-30-4,approved; investigational,BFYIZQONLCFLEV-DAELLWKTSA-N,"InChI=1S/C20H24O2/c1-12-10-14-15-4-5-18(22)20(15,3)9-7-16(14)19(2)8-6-13(21)11-17(12)19/h6,8,11,14-16H,1,4-5,7,9-10H2,2-3H3/t14-,15-,16-,19+,20-/m0/s1",[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC(=C)C2=CC(=O)C=C[C@]12C,C20H24O2,C08162,D00963,60198,46508243,4953,CHEMBL1200374,EXM,54278,50398447
,,,,,,,,,,5353800,,,,,,
,,,,,,,,,,53903450,,,,,,
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7f3726c93e08>,Quinethazone,73-49-4,approved,AGMMTXLNIQSRCG-UHFFFAOYSA-N,"InChI=1S/C10H12ClN3O3S/c1-2-9-13-7-4-6(11)8(18(12,16)17)3-5(7)10(15)14-9/h3-4,9,13H,2H2,1H3,(H,14,15)(H2,12,16,17)",CCC1NC(=O)C2=CC(=C(Cl)C=C2N1)S(N)(=O)=O,C10H12ClN3O3S,C07342,D00461,6307,46507280,8717,CHEMBL1532,,6068,25898
,,,,,,,,,,1893668,,,,,,
