DrugBank ID,Name,CAS Number,Drug Groups,InChIKey,InChI,SMILES,Formula,KEGG Compound ID,KEGG Drug ID,PubChem Compound ID,PubChem Substance ID,ChEBI ID,ChEMBL ID,HET ID,ChemSpider ID,BindingDB ID
,,,,,,,,,,38003,,,,,,
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7fe1419ca408>,Oxitriptan,4350-09-8,approved; investigational; nutraceutical,LDCYZAJDBXYCGN-VIFPVBQESA-N,"InChI=1S/C11H12N2O3/c12-9(11(15)16)3-6-5-13-10-2-1-7(14)4-8(6)10/h1-2,4-5,9,13-14H,3,12H2,(H,15,16)/t9-/m0/s1",N[C@@H](CC1=CNC2=C1C=C(O)C=C2)C(O)=O,C11H12N2O3,C00643,D07339,439280,46505826,58266,CHEMBL350221,4PQ,388413,50403163
,,,,,,,,,,2724126,,,,,,
,,,,,,,,,,53388478,,,,,,
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7fe00415b408>,Benzodiazepine,12794-10-4,approved; investigational,SVUOLADPCWQTTE-UHFFFAOYSA-N,"InChI=1S/C9H8N2/c1-2-6-9-8(4-1)5-3-7-10-11-9/h1-7,11H",N1N=CC=CC2=CC=CC=C12,C9H8N2,,,134664,347828763,,,,118687,
,,,,,,,,,,115198,,,,,,
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7fe147f3f3b8>,Hetacillin,3511-16-8,approved; vet_approved; withdrawn,DXVUYOAEDJXBPY-NFFDBFGFSA-N,"InChI=1S/C19H23N3O4S/c1-18(2)13(17(25)26)21-15(24)12(16(21)27-18)22-14(23)11(20-19(22,3)4)10-8-6-5-7-9-10/h5-9,11-13,16,20H,1-4H3,(H,25,26)/t11-,12-,13+,16-/m1/s1",[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2N1C(=O)[C@H](NC1(C)C)C1=CC=CC=C1)C(O)=O,C19H23N3O4S,C11729,D01074,443387,46504545,5683,CHEMBL1201116,,391616,
,,,,,,,,,,44152182,,,,,,
,,,,,,,,,,1153,,,,,,
,,,,,,,,,,6398970,,,,,,
,,,,,,,,,,65684,,,,,,
