## taxon_id,STRING_type,STRING_name_compact,official_name_NCBI,join_name
287,core,Pseudomonas aeruginosa,Pseudomonas aeruginosa,Pseudomonas aeruginosa
292,core,Burkholderia cepacia,Burkholderia cepacia,Burkholderia cepacia
301,core,Pseudomonas oleovorans,Pseudomonas oleovorans,Pseudomonas oleovorans
340,core,Xanthomonas campestris campestris,Xanthomonas campestris pv. campestris,Xanthomonas campestris
359,core,Agrobacterium rhizogenes,Agrobacterium rhizogenes,Agrobacterium rhizogenes
394,core,Sinorhizobium fredii NGR234,Sinorhizobium fredii NGR234,Sinorhizobium fredii
470,core,Acinetobacter baumannii,Acinetobacter baumannii,Acinetobacter baumannii
511,core,Alcaligenes faecalis,Alcaligenes faecalis,Alcaligenes faecalis
549,core,Pantoea agglomerans,Pantoea agglomerans,Pantoea agglomerans
571,periphery,Klebsiella oxytoca,Klebsiella oxytoca,Klebsiella oxytoca
573,core,Klebsiella pneumoniae,Klebsiella pneumoniae,Klebsiella pneumoniae
585,core,Proteus vulgaris,Proteus vulgaris,Proteus vulgaris
633,core,Yersinia pseudotuberculosis,Yersinia pseudotuberculosis,Yersinia pseudotuberculosis
672,core,Vibrio vulnificus,Vibrio vulnificus,Vibrio vulnificus
747,core,Pasteurella multocida,Pasteurella multocida,Pasteurella multocida
758,periphery,Pasteurella pneumotropica,Pasteurella pneumotropica,Pasteurella pneumotropica
813,core,Chlamydia trachomatis,Chlamydia trachomatis,Chlamydia trachomatis
827,periphery,Campylobacter ureolyticus,Campylobacter ureolyticus,Campylobacter ureolyticus
882,core,Desulfovibrio vulgaris Hildenborough,Desulfovibrio vulgaris str. Hildenborough,Desulfovibrio vulgaris
883,periphery,Desulfovibrio vulgaris Miyazaki,Desulfovibrio vulgaris str. 'Miyazaki F',Desulfovibrio vulgaris
991,core,Flavobacterium hydatis,Flavobacterium hydatis,Flavobacterium hydatis
1044,periphery,Erythrobacter longus,Erythrobacter longus,Erythrobacter longus
1140,core,Synechococcus elongatus PCC7942,Synechococcus elongatus PCC7942,Synechococcus elongatus
1147,periphery,Synechocystis sp. PCC6714,Synechocystis sp. PCC6714,Synechocystis sp.
1148,core,Synechocystis sp. PCC6803,Synechocystis sp. PCC6803,Synechocystis sp.
1246,core,Leuconostoc lactis,Leuconostoc lactis,Leuconostoc lactis
1274,core,Dermacoccus nishinomiyaensis,Dermacoccus nishinomiyaensis,Dermacoccus nishinomiyaensis
1280,core,Staphylococcus aureus,Staphylococcus aureus,Staphylococcus aureus
1288,core,Staphylococcus xylosus,Staphylococcus xylosus,Staphylococcus xylosus
1314,core,Streptococcus pyogenes,Streptococcus pyogenes,Streptococcus pyogenes
1346,periphery,Streptococcus iniae,Streptococcus iniae,Streptococcus iniae
1396,core,Bacillus cereus,Bacillus cereus,Bacillus cereus
1405,periphery,Bacillus mycoides,Bacillus mycoides,Bacillus mycoides
1507,periphery,Clostridium sp. ATCC29733,Clostridium sp. ATCC29733,Clostridium sp.
1511,periphery,Clostridium sticklandii,[Clostridium] sticklandii,Clostridium sticklandii
1605,core,Lactobacillus animalis,Lactobacillus animalis,Lactobacillus animalis
1680,core,Bifidobacterium adolescentis,Bifidobacterium adolescentis,Bifidobacterium adolescentis
1687,periphery,Bifidobacterium coryneforme,Bifidobacterium coryneforme,Bifidobacterium coryneforme
1688,periphery,Bifidobacterium cuniculi,Bifidobacterium cuniculi,Bifidobacterium cuniculi
1690,periphery,Bifidobacterium pseudolongum globosum,Bifidobacterium pseudolongum subsp. globosum,Bifidobacterium pseudolongum
1692,periphery,Bifidobacterium magnum,Bifidobacterium magnum,Bifidobacterium magnum
1693,periphery,Bifidobacterium minimum,Bifidobacterium minimum,Bifidobacterium minimum
1713,core,Oerskovia turbata,Oerskovia turbata,Oerskovia turbata
1719,core,Corynebacterium pseudotuberculosis,Corynebacterium pseudotuberculosis,Corynebacterium pseudotuberculosis
1828,periphery,Rhodococcus fascians,Rhodococcus fascians,Rhodococcus fascians
1869,periphery,Actinoplanes utahensis,Actinoplanes utahensis,Actinoplanes utahensis
1894,core,Streptomyces aureofaciens,Streptomyces aureofaciens,Streptomyces aureofaciens
1896,periphery,Streptomyces bikiniensis,Streptomyces bikiniensis,Streptomyces bikiniensis
1906,core,Streptomyces fradiae,Streptomyces fradiae,Streptomyces fradiae
1907,periphery,Streptomyces glaucescens,Streptomyces glaucescens,Streptomyces glaucescens
1944,periphery,Streptomyces halstedii,Streptomyces halstedii,Streptomyces halstedii
1957,periphery,Streptomyces sclerotialus,Streptomyces sclerotialus,Streptomyces sclerotialus
1961,periphery,Streptomyces virginiae,Streptomyces virginiae,Streptomyces virginiae
