id,name,influence
6,Aeromonas hydrophila,-1
9,Staphylococcus lugdunensis,-1
19,Mycobacterium leprae,-1
22,Enterococcus casseliflavus,-1
27,Granulibacter bethesdensis,-1
34,Streptococcus sanguinis,-1
36,Clostridium difficile,-1
37,Mycoplasma pneumoniae,-1
41,Streptococcus pneumoniae,-1
54,Prevotella melaninogenica (Bacteroides melaninogenicus),-1
61,Shigella dysenteriae,-1
68,Mycoplasma pulmonis,-1
69,Streptococcus oralis,-1
71,Enterobacter cloacae,-1
74,Bacillus cereus,-1
78,Enterococcus faecalis (Streptococcus faecalis),-1
80,Mycoplasma hominis,-1
84,Mycoplasma arthritidis,-1
88,Streptococcus gordonii,-1
104,Clostridium perfringens,-1
105,Bacteroides thetaiotaomicron,-1
110,Actinomyces viscosus,-1
118,Haemophilus parainfluenzae,-1
121,Streptococcus australis,-1
126,Bacillus licheniformis,-1
128,Mycoplasma fermentans,-1
132,Kingella denitrificans,-1
133,Ureaplasma urealyticum,-1
137,Selenomonas noxia,-1
138,Streptococcus gallolyticus,-1
139,Mycoplasma genitalium,-1
142,Clostridium tetani,-1
157,Ureaplasma parvum,-1
165,Proteus mirabilis,-1
166,Brucella suis,-1
172,Clostridium novyi,-1
174,Erysipelothrix rhusiopathiae,-1
183,Helicobacter pylori,-1
184,Pseudomonas aeruginosa,-1
189,Prevotella copri,-1
193,Clostridium botulinum,-1
195,Desulfovibrio desulfuricans,-1
198,Bacteroides vulgatus,-1
204,Sutterella wadsworthensis,-1
209,Micrococcus luteus,-1
222,Haemophilus influenzae,-1
225,Bilophila wadsworthia,-1
229,Shigella sonnei,-1
233,Mycoplasma penetrans,-1
236,Klebsiella pneumoniae,-1
245,Ralstonia pickettii,-1
255,Campylobacter jejuni,-1
260,Moraxella catarrhalis,-1
269,Listeria monocytogenes,-1
287,Klebsiella variicola,-1
290,Clostridium symbiosum,-1
309,Campylobacter gracilis,-1
317,Corynebacterium diphtheriae,-1
326,Fusobacterium nucleatum,-1
333,Prevotella bryantii,-1
334,Proteus penneri,-1
356,Shigella boydii,-1
371,Streptococcus mitis,-1
386,Bacillus anthracis,-1
393,Pseudomonas mendocina,-1
416,Streptococcus suis,-1
417,Ruminococcus gnavus,-1
425,Chromobacterium violaceum,-1
436,Brucella abortus,-1
440,Streptococcus pyogenes,-1
452,Salmonella enterica,-1
453,Bacteroides salanitronis,-1
459,Mycobacterium tuberculosis,-1
460,Streptococcus mutans,-1
461,Pseudomonas fluorescens,-1
469,Streptococcus dysgalactiae,-1
470,Brucella melitensis,-1
486,Aggregatibacter actinomycetemcomitans,-1
491,Mycobacterium avium,-1
504,Neisseria gonorrhoeae,-1
512,Citrobacter koseri,-1
523,Actinomyces urogenitalis,-1
526,Porphyromonas gingivalis,-1
528,Achromobacter xylosoxidans,-1
534,Veillonella parvula,-1
538,Shigella flexneri,-1
552,Streptococcus bovis (Streptococcus equinus),-1
555,Clostridium bolteae,-1
556,Comamonas testosteroni,-1
