DrugBank ID,Name,CAS Number,Drug Groups,InChIKey,InChI,SMILES,Formula,KEGG Compound ID,KEGG Drug ID,PubChem Compound ID,PubChem Substance ID,ChEBI ID,ChEMBL ID,HET ID,ChemSpider ID,BindingDB ID
DB01821,"L-N(Omega)-Nitroarginine-2,4-L-Diaminobutyric Amide",,experimental,KUZKVXUOMSVPOA-BQBZGAKWSA-N,"InChI=1S/C10H22N8O4/c11-4-3-7(8(13)19)16-9(20)6(12)2-1-5-15-10(14)17-18(21)22/h6-7H,1-5,11-12H2,(H2,13,19)(H,16,20)(H3,14,15,17)/t6-,7-/m0/s1",[H][C@](N)(CCCNC(=N)NN(=O)=O)C(O)=N[C@@]([H])(CCN)C(O)=N,C10H22N8O4,,,656910,46509184,,CHEMBL44833,DP1,571159,22030
DB02077,L-N(omega)-Nitroarginine-(4R)-Amino-L-Proline Amide,,experimental,IUFRDGFKAVLPFZ-CSMHCCOUSA-N,"InChI=1S/C11H22N8O4/c12-7(2-1-3-15-11(14)18-19(22)23)10(21)17-6-4-8(9(13)20)16-5-6/h6-8,16H,1-5,12H2,(H2,13,20)(H,17,21)(H3,14,15,18)/t6-,7+,8+/m1/s1",N[C@@H](CCCNC(=N)N[N+]([O-])=O)C(=O)N[C@H]1CN[C@@H](C1)C(N)=O,C11H22N8O4,,,656912,46507698,,CHEMBL228077,DP9,571161,50138976
DB04170,4-bromo-3-hydroxy-3-methyl butyl diphosphate,,experimental,YKAYCWPQDPILSA-RXMQYKEDSA-N,"InChI=1S/C5H13BrO8P2/c1-5(7,4-6)2-3-13-16(11,12)14-15(8,9)10/h7H,2-4H2,1H3,(H,11,12)(H2,8,9,10)/t5-/m1/s1",C[C@](O)(CBr)CCO[P@](O)(=O)OP(O)(O)=O,C5H13BrO8P2,,,448012,46505765,,CHEMBL361403,BHI,394947,
DB04173,Fructose,,approved; experimental,RFSUNEUAIZKAJO-AZGQCCRYSA-N,"InChI=1S/C6H12O6/c7-1-3-4(9)5(10)6(11,2-8)12-3/h3-5,7-11H,1-2H2/t3-,4-,5+,6-/m0/s1",OC[C@@H]1O[C@@](O)(CO)[C@H](O)[C@H]1O,C6H12O6,,,439553,46504785,43703,,LFR,,
DB01799,4-Hydroxy-3-Methyl Butyl Diphosphate,,experimental,URURINNTPGGDIV-YFKPBYRVSA-N,"InChI=1S/C5H14O8P2/c1-5(4-6)2-3-12-15(10,11)13-14(7,8)9/h5-6H,2-4H2,1H3,(H,10,11)(H2,7,8,9)/t5-/m0/s1",C[C@H](CO)CCO[P@](O)(=O)OP(O)(O)=O,C5H14O8P2,,,5288154,46508731,,,EIP,4450378,
DB03688,3-Hydroxy-Propanoic Acid,,experimental,ALRHLSYJTWAHJZ-UHFFFAOYSA-N,"InChI=1S/C3H6O3/c4-2-1-3(5)6/h4H,1-2H2,(H,5,6)",OCCC(O)=O,C3H6O3,C01013,,68152,46508403,33404,CHEMBL1205969,3OH,,
DB02178,Phenylacetaldehyde,122-78-1,experimental,DTUQWGWMVIHBKE-UHFFFAOYSA-N,"InChI=1S/C8H8O/c9-7-6-8-4-2-1-3-5-8/h1-5,7H,6H2",O=CCC1=CC=CC=C1,C8H8O,C00601,,998,46505999,16424,CHEMBL1233464,HY1,13876539,
DB03170,Dephospho Coenzyme A,,experimental,KDTSHFARGAKYJN-IBOSZNHHSA-N,"InChI=1S/C21H35N7O13P2S/c1-21(2,16(32)19(33)24-4-3-12(29)23-5-6-44)8-39-43(36,37)41-42(34,35)38-7-11-14(30)15(31)20(40-11)28-10-27-13-17(22)25-9-26-18(13)28/h9-11,14-16,20,30-32,44H,3-8H2,1-2H3,(H,23,29)(H,24,33)(H,34,35)(H,36,37)(H2,22,25,26)/t11-,14-,15-,16+,20-/m1/s1",CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N)[C@@H](O)C(=O)NCCC(=O)NCCS,C21H35N7O13P2S,C00882,,444485,46504599,15468,,COD,392407,
DB02175,Malonic acid,141-82-2,experimental,OFOBLEOULBTSOW-UHFFFAOYSA-N,"InChI=1S/C3H4O4/c4-2(5)1-3(6)7/h1H2,(H,4,5)(H,6,7)",OC(=O)CC(O)=O,C3H4O4,C04025,,867,46504875,30794,CHEMBL7942,MLA,844,14673
DB02172,"2,5-Dideoxy-2,5-Imino-D-Glucitol",,experimental,PFYHYHZGDNWFIF-BXKVDMCESA-N,"InChI=1S/C6H13NO4/c8-1-3-5(10)6(11)4(2-9)7-3/h3-11H,1-2H2/t3-,4-,5-,6-/m0/s1",OC[C@@H]1N[C@@H](CO)[C@H](O)[C@H]1O,C6H13NO4,,,11073745,46507754,,CHEMBL405957,DIG,9248894,50375510
DB01252,Mitiglinide,145375-43-5,investigational,WPGGHFDDFPHPOB-BBWFWOEESA-N,"InChI=1S/C19H25NO3/c21-18(20-12-15-8-4-5-9-16(15)13-20)11-17(19(22)23)10-14-6-2-1-3-7-14/h1-3,6-7,15-17H,4-5,8-13H2,(H,22,23)/t15-,16+,17-/m0/s1",[H][C@@](CC(=O)N1C[C@@]2([H])CCCC[C@@]2([H])C1)(CC1=CC=CC=C1)C(O)=O,C19H25NO3,,D01854,121891,46506527,135349,CHEMBL471498,,108739,
