Categories,pval,Bonferroni,B&H_FDR_adjusted_pval,B&Y_FDR_adjusted_pval
"Nitric Oxide Synthase, antagonists & inhibitors",0.000105847,0.000105847,0.000105847,0.000105847
Sulfonylureas,0.000647388,0.000647388,0.000647388,0.000647388
Urea,0.001538641,0.001538641,0.001538641,0.001538641
Drugs Used in Diabetes,0.002581573,0.002581573,0.002581573,0.002581573
"Pigments, Biological",0.005749746,0.005749746,0.005749746,0.005749746
Peptides,0.005749746,0.005749746,0.005749746,0.005749746
Sulfonylurea Compounds,0.006772522,0.006772522,0.006772522,0.006772522
Porphyrins,0.006772522,0.006772522,0.006772522,0.006772522
Hydroxy Acids,0.006797733,0.006797733,0.006797733,0.006797733
Oral Hypoglycemics,0.006934229,0.006934229,0.006934229,0.006934229
Biological Factors,0.010499391,0.010499391,0.010499391,0.010499391
Blood Glucose Lowering Agents,0.01755345,0.01755345,0.01755345,0.01755345
Surface-Active Agents,0.019931475,0.019931475,0.019931475,0.019931475
Stereoisomerism,0.019931475,0.019931475,0.019931475,0.019931475
Aminoacridines,0.019931475,0.019931475,0.019931475,0.019931475
Acridines,0.019931475,0.019931475,0.019931475,0.019931475
Pteridines,0.03709115,0.03709115,0.03709115,0.03709115
Hydroxylamines,0.038250355,0.038250355,0.038250355,0.038250355
Benzoates,0.049739856,0.049739856,0.049739856,0.049739856
Agrochemicals,0.049840876,0.049840876,0.049840876,0.049840876
Pesticides,0.049840876,0.049840876,0.049840876,0.049840876
Cyclohexanecarboxylic Acids,0.063554037,0.063554037,0.063554037,0.063554037
beta-Lactamase Inhibitors,0.063554037,0.063554037,0.063554037,0.063554037
Amidines,0.067200906,0.067200906,0.067200906,0.067200906
Insulins and Analogues,0.073603603,0.073603603,0.073603603,0.073603603
Lincosamides,0.073603603,0.073603603,0.073603603,0.073603603
Household Products,0.073603603,0.073603603,0.073603603,0.073603603
Emollients and Protectives,0.073603603,0.073603603,0.073603603,0.073603603
Intercalating Agents,0.073603603,0.073603603,0.073603603,0.073603603
"Insulins and Analogues for Injection, Long-Acting",0.073603603,0.073603603,0.073603603,0.073603603
Potassium Channel Antagonists,0.073603603,0.073603603,0.073603603,0.073603603
Isonicotinic Acids,0.073603603,0.073603603,0.073603603,0.073603603
"Insulins and Analogues for Injection, Intermediate- or Long-Acting Combined With Fast-Acting",0.073603603,0.073603603,0.073603603,0.073603603
Peptide Hormones,0.073603603,0.073603603,0.073603603,0.073603603
Glinide,0.073603603,0.073603603,0.073603603,0.073603603
"Insulins and Analogues for Injection, Fast-Acting",0.073603603,0.073603603,0.073603603,0.073603603
Insulin,0.073603603,0.073603603,0.073603603,0.073603603
"Insulins and Analogues for Injection, Intermediate-Acting",0.073603603,0.073603603,0.073603603,0.073603603
