Levels,pval,Bonferroni,B&H_FDR_adjusted_pval,B&Y_FDR_adjusted_pval,ATC_code,description
A10BB,0.002114759564767509,0.002114759564767509,0.002114759564767509,0.002114759564767509,A10BB,Sulfonylureas
A10,0.005284925483941622,0.005284925483941622,0.005284925483941622,0.005284925483941622,A10,DRUGS USED IN DIABETES
A10B,0.013825142891767353,0.013825142891767353,0.013825142891767353,0.013825142891767353,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
A10BX,0.06355403670762665,0.06355403670762665,0.06355403670762665,0.06355403670762665,A10BX,"Other blood glucose lowering drugs, excl. insulins"
B01,0.07360360302740115,0.07360360302740115,0.07360360302740115,0.07360360302740115,B01,ANTITHROMBOTIC AGENTS
J01CG,0.07360360302740115,0.07360360302740115,0.07360360302740115,0.07360360302740115,J01CG,Beta-lactamase inhibitors
A10A,0.07360360302740115,0.07360360302740115,0.07360360302740115,0.07360360302740115,A10A,INSULINS AND ANALOGUES
B01A,0.07360360302740115,0.07360360302740115,0.07360360302740115,0.07360360302740115,B01A,ANTITHROMBOTIC AGENTS
C04A,0.1809478595677287,0.1809478595677287,0.1809478595677287,0.1809478595677287,C04A,PERIPHERAL VASODILATORS
C04,0.1809478595677287,0.1809478595677287,0.1809478595677287,0.1809478595677287,C04,PERIPHERAL VASODILATORS
L01AD,0.1809478595677287,0.1809478595677287,0.1809478595677287,0.1809478595677287,L01AD,Nitrosoureas
V,0.20447111947541918,0.20447111947541918,0.20447111947541918,0.20447111947541918,V,VARIOUS
D08AJ,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,D08AJ,Quaternary ammonium compounds
A05AX,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,A05AX,Other drugs for bile therapy
C01D,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,C01D,VASODILATORS USED IN CARDIAC DISEASES
J04AD,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,J04AD,Thiocarbamide derivatives
B01AA,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,B01AA,Vitamin K antagonists
D02BA,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,D02BA,Protectives against UV-radiation for topical use
J05AH,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,J05AH,Neuraminidase inhibitors
D01AC,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,D01AC,Imidazole and triazole derivatives
N02AC,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,N02AC,Diphenylpropylamine derivatives
V03AN,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,V03AN,Medical gases
S01CA,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,S01CA,Corticosteroids and antiinfectives in combination
C10AX,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,C10AX,Other lipid modifying agents
V06D,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,V06D,OTHER NUTRIENTS
S01BC,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,S01BC,"Antiinflammatory agents, non-steroids"
C01DX,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,C01DX,Other vasodilators used in cardiac diseases
V06,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,V06,GENERAL NUTRIENTS
S01F,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,S01F,MYDRIATICS AND CYCLOPLEGICS
R02,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,R02,THROAT PREPARATIONS
R01AX,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,R01AX,Other nasal preparations
D02B,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,D02B,PROTECTIVES AGAINST UV-RADIATION
S01FA,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,S01FA,Anticholinergics
P02CE,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,P02CE,Imidazothiazole derivatives
A10AE,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,A10AE,"Insulins and analogues for injection, long-acting"
A08AB,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,A08AB,Peripherally acting antiobesity products
A10BG,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,A10BG,Thiazolidinediones
B05BC,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,B05BC,Solutions producing osmotic diuresis
N06DA,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,N06DA,Anticholinesterases
C10A,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,C10A,"LIPID MODIFYING AGENTS, PLAIN"
S01B,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,S01B,ANTIINFLAMMATORY AGENTS
J01FF,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,J01FF,Lincosamides
B01AC,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,B01AC,Platelet aggregation inhibitors excl. heparin
C04AX,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,C04AX,Other peripheral vasodilators
S01C,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,S01C,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION
J04AC,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,J04AC,Hydrazides
D02,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,D02,EMOLLIENTS AND PROTECTIVES
R02A,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,R02A,THROAT PREPARATIONS
R02AB,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,R02AB,Antibiotics
N07BC,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,N07BC,Drugs used in opioid dependence
V06DC,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,V06DC,Carbohydrates
A10AD,0.27146814404424485,0.27146814404424485,0.27146814404424485,0.27146814404424485,A10AD,"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting"
V03A,0.289146321014255,0.289146321014255,0.289146321014255,0.289146321014255,V03A,ALL OTHER THERAPEUTIC PRODUCTS
V03,0.289146321014255,0.289146321014255,0.289146321014255,0.289146321014255,V03,ALL OTHER THERAPEUTIC PRODUCTS
V03AB,0.2983416824287934,0.2983416824287934,0.2983416824287934,0.2983416824287934,V03AB,Antidotes
L01A,0.2983416824287934,0.2983416824287934,0.2983416824287934,0.2983416824287934,L01A,ALKYLATING AGENTS
A,0.3970858810506802,0.3970858810506802,0.3970858810506802,0.3970858810506802,A,ALIMENTARY TRACT AND METABOLISM
N06D,0.46933268506198283,0.46933268506198283,0.46933268506198283,0.46933268506198283,N06D,ANTI-DEMENTIA DRUGS
D01A,0.46933268506198283,0.46933268506198283,0.46933268506198283,0.46933268506198283,D01A,ANTIFUNGALS FOR TOPICAL USE
G01AD,0.46933268506198283,0.46933268506198283,0.46933268506198283,0.46933268506198283,G01AD,Organic acids
D10AF,0.46933268506198283,0.46933268506198283,0.46933268506198283,0.46933268506198283,D10AF,Antiinfectives for treatment of acne
B05B,0.46933268506198283,0.46933268506198283,0.46933268506198283,0.46933268506198283,B05B,I.V. SOLUTIONS
V04CG,0.46933268506198283,0.46933268506198283,0.46933268506198283,0.46933268506198283,V04CG,Tests for gastric secretion
R01A,0.46933268506198283,0.46933268506198283,0.46933268506198283,0.46933268506198283,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE
N07B,0.46933268506198283,0.46933268506198283,0.46933268506198283,0.46933268506198283,N07B,DRUGS USED IN ADDICTIVE DISORDERS
