Categories,pval,Bonferroni,B&H_FDR_adjusted_pval,B&Y_FDR_adjusted_pval
"Nitric Oxide Synthase, antagonists & inhibitors",3.199922886478812e-07,0.00012479699257267367,0.00012479699257267367,0.0008167518771053965
Urea,7.344330031151571e-07,0.0002864288712149113,0.00014321443560745564,0.0009372874834532827
Sulfonylureas,3.9107024441261315e-05,0.015251739532091912,0.0050839131773639705,0.033272401402099944
Oral Hypoglycemics,7.289816496275802e-05,0.028430284335475627,0.007107571083868907,0.04651652179061479
Drugs Used in Diabetes,0.00017893770440485107,0.06978570471789192,0.01204394666044748,0.07882334213261885
Sulfonylurea Compounds,0.0001852914870838074,0.07226367996268489,0.01204394666044748,0.07882334213261885
Stereoisomerism,0.00022663305778008685,0.08838689253423387,0.012626698933461982,0.08263724824573981
"Aldehyde Reductase, antagonists & inhibitors",0.0004117803674902018,0.1605943433211787,0.020074292915147337,0.13137909882293314
Enzyme Inhibitors,0.0004668274695609597,0.18206271312877428,0.020229190347641583,0.13239284736078202
Blood Glucose Lowering Agents,0.0006149412452181786,0.23982708563508964,0.023982708563508967,0.15695828748365773
Pyrazoles,0.0013450870473718367,0.5245839484750163,0.04768944986136512,0.3121104674835128
Glinide,0.0037437705117364262,1.0,0.10429074996980045,0.6825458213903751
Potassium Channel Antagonists,0.0037437705117364262,1.0,0.10429074996980045,0.6825458213903751
Lincosamides,0.0037437705117364262,1.0,0.10429074996980045,0.6825458213903751
Alimentary Tract and Metabolism,0.005261010440958666,1.0,0.1367862714649253,0.8952174381619601
Hypoglycemia-Associated Agents,0.007036232981881194,1.0,0.15568287828334948,1.0
Cytochrome P-450 CYP2C9 Substrates,0.007131111731203498,1.0,0.15568287828334948,1.0
Peptides,0.009127800520754358,1.0,0.15568287828334948,1.0
"Macrolides, Lincosamides and Streptogramins",0.010090967101894045,1.0,0.15568287828334948,1.0
Neuroprotective Agents,0.010778045419616503,1.0,0.15568287828334948,1.0
Surface-Active Agents,0.010778045419616503,1.0,0.15568287828334948,1.0
Peptoids,0.010778045419616503,1.0,0.15568287828334948,1.0
Nitrosoureas,0.010778045419616503,1.0,0.15568287828334948,1.0
Acrylates,0.010778045419616503,1.0,0.15568287828334948,1.0
N-substituted Glycines,0.010778045419616503,1.0,0.15568287828334948,1.0
Nitroso Compounds,0.010778045419616503,1.0,0.15568287828334948,1.0
Glycine,0.010778045419616503,1.0,0.15568287828334948,1.0
Sulfones,0.018711400646061825,1.0,0.22380718150492324,1.0
Imidazoles,0.01974740569972553,1.0,0.22380718150492324,1.0
Vasodilating Agents,0.01974740569972553,1.0,0.22380718150492324,1.0
Hematologic Agents,0.01974740569972553,1.0,0.22380718150492324,1.0
beta-Lactamase Inhibitors,0.020690421711494506,1.0,0.22380718150492324,1.0
Pyrrolidines,0.020690421711494506,1.0,0.22380718150492324,1.0
Alkylating Drugs,0.020690421711494506,1.0,0.22380718150492324,1.0
"Adjuvants, Immunologic",0.020690421711494506,1.0,0.22380718150492324,1.0
BSEP/ABCB11 Substrates,0.035943155649395785,1.0,0.22380718150492324,1.0
Antioxidants,0.04111831200623022,1.0,0.22380718150492324,1.0
Sensory System Agents,0.041902123455658476,1.0,0.22380718150492324,1.0
Pesticides,0.04768491718894738,1.0,0.22380718150492324,1.0
Agrochemicals,0.04768491718894738,1.0,0.22380718150492324,1.0
Nitrogen Compounds,0.04768491718894738,1.0,0.22380718150492324,1.0
Analgesics,0.05539533811240176,1.0,0.22380718150492324,1.0
Protein Synthesis Inhibitors,0.05982639793481903,1.0,0.22380718150492324,1.0
Anti-Inflammatory Agents,0.05982639793481903,1.0,0.22380718150492324,1.0
Tests for Diabetes,0.06140350877186356,1.0,0.22380718150492324,1.0
Fish Oils,0.06140350877186356,1.0,0.22380718150492324,1.0
Azole Antifungals,0.06140350877186356,1.0,0.22380718150492324,1.0
Clavulanic Acids,0.06140350877186356,1.0,0.22380718150492324,1.0
"Lipase, antagonists & inhibitors",0.06140350877186356,1.0,0.22380718150492324,1.0
Angiogenesis Inhibitors,0.06140350877186356,1.0,0.22380718150492324,1.0
Cellulose,0.06140350877186356,1.0,0.22380718150492324,1.0
Nitric Acid,0.06140350877186356,1.0,0.22380718150492324,1.0
Alkanesulfonates,0.06140350877186356,1.0,0.22380718150492324,1.0
Phosphodiesterase 5 Inhibitors,0.06140350877186356,1.0,0.22380718150492324,1.0
Lactates,0.06140350877186356,1.0,0.22380718150492324,1.0
Vitamin K Antagonists,0.06140350877186356,1.0,0.22380718150492324,1.0
Glycocholic Acid,0.06140350877186356,1.0,0.22380718150492324,1.0
Hematologic Activity Alteration,0.06140350877186356,1.0,0.22380718150492324,1.0
"Chitinase, antagonists & inhibitors",0.06140350877186356,1.0,0.22380718150492324,1.0
Imidazothiazole Derivatives,0.06140350877186356,1.0,0.22380718150492324,1.0
Cytochrome P-450 CYP2A6 Inhibitors (strong),0.06140350877186356,1.0,0.22380718150492324,1.0
Meglitinides,0.06140350877186356,1.0,0.22380718150492324,1.0
Oils,0.06140350877186356,1.0,0.22380718150492324,1.0
Eicosanoids,0.06140350877186356,1.0,0.22380718150492324,1.0
Drugs Used in Opioid Dependence,0.06140350877186356,1.0,0.22380718150492324,1.0
